-1,374,313,29,0
2,573,273,20,38
2,593,305,20,18
2,547,312,35,27
2,617,274,14,18
1,362,487,20,7
1,391,505,28,9
1,324,526,26,1
-1,455,386,35,1
-1,617,435,34,1
-1,724,547,28,1
-1,918,659,38,2
-1,1344,405,30,1
2,415,257,21,32
1,298,273,32,4
-1,1282,622,20,0
2,564,485,20,40
2,564,524,20,33
2,603,513,20,44
2,625,584,20,26
2,828,580,20,39
2,999,583,20,6
1,945,701,32,8
1,943,546,27,9
2,1094,577,20,42
2,1229,619,20,17
2,1320,553,20,1
2,1418,534,20,41
2,1409,380,20,11
2,1422,311,20,20
2,1292,305,20,42
1,1256,406,20,2
1,1451,452,20,4
1,1200,474,20,4
1,827,472,20,9
1,728,403,20,9
1,780,436,20,7
1,744,458,20,5
1,855,691,20,8
1,823,710,20,9
1,1038,582,20,0
1,1066,581,20,0
1,1098,539,20,7
